:ID,:LABEL,title,identifier
col-a62415bb-f2f5-4c76-acee-4258b0c72f8d,Collection,MAT101: Pre-Calculus,a62415bb-f2f5-4c76-acee-4258b0c72f8d
col-a730de50-8b9b-4593-8e0e-5b910c8c67a5,Collection,Auditing_Sept.2023,a730de50-8b9b-4593-8e0e-5b910c8c67a5
col-a98ec15a-2ab8-43e7-83cb-5f077fbc3599,Collection,Core Teaching Standards_Feb.2023,a98ec15a-2ab8-43e7-83cb-5f077fbc3599
col-a9f1d114-6664-483e-a780-4a0cb926dbe5,Collection,Pharmacy Technicians_March.2023,a9f1d114-6664-483e-a780-4a0cb926dbe5
col-aa013cc4-0423-4e07-9b1e-311e90e98900,Collection,Security Architects_Jun.2023,aa013cc4-0423-4e07-9b1e-311e90e98900
col-aa16c898-774d-487c-9d92-49335e68eeef,Collection,WGU Leadership Principles_Sept. 2023,aa16c898-774d-487c-9d92-49335e68eeef
col-aa9149fe-d86f-42af-9c3d-eadc6081fedf,Collection,Software Engineer_JUN.2023,aa9149fe-d86f-42af-9c3d-eadc6081fedf
col-ab4328ba-1dd9-4f4f-8c8e-3f3aa0a65c09,Collection,Literacy Instruction K12_Nov.2023,ab4328ba-1dd9-4f4f-8c8e-3f3aa0a65c09
col-abe001c6-e69d-4c77-9ef4-94b4f71ff024,Collection,Programming Foundations Course Collection,abe001c6-e69d-4c77-9ef4-94b4f71ff024
col-ac47dd44-8801-44ec-a3b1-478d37a833d9,Collection,Microcredential in Management_February.2022,ac47dd44-8801-44ec-a3b1-478d37a833d9
col-ac9248bc-3d5f-4459-97a0-95959bcb5420,Collection,People Development Partner -Leadership Development and Organizational Development_JUL.2023,ac9248bc-3d5f-4459-97a0-95959bcb5420
col-ad4ce6c5-6cc1-4d8c-94d1-9654c3b93e1b,Collection,Management Analysts_JUNE.2023,ad4ce6c5-6cc1-4d8c-94d1-9654c3b93e1b
col-ae0cc03a-3a5e-49f6-94f5-2a5981fbb4c2,Collection,Microcredential in Applied Business Skills_February.2022,ae0cc03a-3a5e-49f6-94f5-2a5981fbb4c2
col-aefea103-8c03-4c2c-8135-1e957dac5818,Collection,Dental Hygienists_Feb.2023,aefea103-8c03-4c2c-8135-1e957dac5818
col-b0040847-6e56-48a9-ba3e-563f9c6ab354,Collection,Nursing Assistants_Jan.2023,b0040847-6e56-48a9-ba3e-563f9c6ab354
col-b0778861-1fea-405c-af2b-6ace69e53387,Collection,People Development - Quality Assurance Coach_JUL.2023,b0778861-1fea-405c-af2b-6ace69e53387
col-b134909e-3692-44c0-921d-e0883f947fa0,Collection,Top-Level InTASC Standards_Dec.2023,b134909e-3692-44c0-921d-e0883f947fa0
col-b24d9ed8-c2bf-4005-a753-a5cf51ddc091,Collection,Administrative Services and Facilities Managers_JUN.2023,b24d9ed8-c2bf-4005-a753-a5cf51ddc091
col-b37587df-1911-4ac3-9f6b-3d5bfd355811,Collection,"Career Readiness: Character, DEI, and SEL_Sep.2023",b37587df-1911-4ac3-9f6b-3d5bfd355811
col-b3af69da-3480-49c5-92d7-d946497924ae,Collection,Social Emotional Learning (SEL): Social Awareness_June.2023,b3af69da-3480-49c5-92d7-d946497924ae
